state,predicted_risk_score,low_intervention,medium_intervention,high_intervention
Uttar Pradesh,1.0739262068915945,0.966533586202435,0.7517483448241161,0.5369631034457972
Manipur,0.8406295714405472,0.7565666142964925,0.588440700008383,0.4203147857202736
Meghalaya,0.7723529583673304,0.6951176625305974,0.5406470708571313,0.3861764791836652
Bihar,0.7540044022084516,0.6786039619876064,0.527803081545916,0.3770022011042258
Assam,0.5243851986781005,0.47194667881029045,0.36706963907467033,0.26219259933905026
Ladakh,0.4939775148598679,0.4445797633738811,0.3457842604019075,0.24698875742993395
Dadra & Nagar Haveli,0.3692307692307688,0.3323076923076919,0.25846153846153813,0.1846153846153844
Delhi,0.1754469550453761,0.1579022595408385,0.12281286853176326,0.08772347752268805
West Bengal,0.1742164913924204,0.15679484225317836,0.12195154397469428,0.0871082456962102
100000,0.0629629629629629,0.056666666666666615,0.04407407407407403,0.03148148148148145
Arunachal Pradesh,0.006743016244608,0.0060687146201472,0.0047201113712256,0.003371508122304
West  Bengal,-0.0272727272727272,-0.024545454545454478,-0.019090909090909037,-0.0136363636363636
Nagaland,-0.0590876182556145,-0.05317885643005305,-0.04136133277893015,-0.02954380912780725
Haryana,-0.1155994101644193,-0.10403946914797738,-0.0809195871150935,-0.05779970508220965
Dadra and Nagar Haveli and Daman and Diu,-0.1983070607553356,-0.17847635467980205,-0.1388149425287349,-0.0991535303776678
Orissa,-0.2292822420395865,-0.20635401783562785,-0.16049756942771054,-0.11464112101979325
Karnataka,-0.2737092518788051,-0.24633832669092462,-0.19159647631516358,-0.13685462593940256
Maharashtra,-0.2739510215684664,-0.24655591941161978,-0.19176571509792648,-0.1369755107842332
Jammu & Kashmir,-0.3297343550446996,-0.29676091954022965,-0.2308140485312897,-0.1648671775223498
Sikkim,-0.4511809364331149,-0.4060628427898034,-0.3158266555031804,-0.22559046821655745
Pondicherry,-0.5047442338648782,-0.4542698104783904,-0.3533209637054147,-0.2523721169324391
Daman and Diu,-0.5381666666666653,-0.48434999999999884,-0.3767166666666657,-0.2690833333333327
Gujarat,-0.541911394964969,-0.4877202554684721,-0.3793379764754783,-0.2709556974824845
Andaman and Nicobar Islands,-0.603352115626306,-0.5430169040636754,-0.42234648093841415,-0.301676057813153
Lakshadweep,-0.6716518177163326,-0.6044866359446994,-0.4701562724014328,-0.3358259088581663
Punjab,-0.7582887910256639,-0.6824599119230975,-0.5308021537179647,-0.37914439551283197
Madhya Pradesh,-0.8440669049040217,-0.7596602144136195,-0.5908468334328152,-0.42203345245201085
Daman & Diu,-0.875,-0.7875,-0.6124999999999999,-0.4375
Mizoram,-1.0569307469000415,-0.9512376722100374,-0.739851522830029,-0.5284653734500208
Dadra and Nagar Haveli,-1.273050530727451,-1.1457454776547058,-0.8911353715092155,-0.6365252653637254
Jharkhand,-1.4244363220778746,-1.2819926898700873,-0.9971054254545122,-0.7122181610389373
Rajasthan,-1.5554729573288082,-1.3999256615959275,-1.0888310701301656,-0.7777364786644041
Puducherry,-1.6623330439100723,-1.4960997395190652,-1.1636331307370504,-0.8311665219550362
Chandigarh,-2.0547190518619454,-1.849247146675751,-1.4383033363033617,-1.0273595259309727
Andaman & Nicobar Islands,-2.1984126984126995,-1.9785714285714295,-1.5388888888888896,-1.0992063492063497
Goa,-2.7362203945661445,-2.46259835510953,-1.915354276196301,-1.3681101972830723
Uttarakhand,-3.577803154594573,-3.2200228391351158,-2.504462208216201,-1.7889015772972865
Tripura,-4.686278284008761,-4.2176504556078855,-3.2803947988061326,-2.3431391420043806
Himachal Pradesh,-6.350537161931102,-5.715483445737992,-4.445376013351772,-3.175268580965551
Telangana,-6.484934030035731,-5.836440627032158,-4.5394538210250115,-3.2424670150178656
Chhattisgarh,-6.962457471116114,-6.266211724004503,-4.873720229781279,-3.481228735558057
Andhra Pradesh,-7.450387138238938,-6.705348424415044,-5.215270996767256,-3.725193569119469
Jammu and Kashmir,-10.531698081249594,-9.478528273124635,-7.372188656874715,-5.265849040624797
Odisha,-21.210403831736684,-19.089363448563017,-14.847282682215678,-10.605201915868342
Kerala,-28.16453504735334,-25.348081542618008,-19.715174533147337,-14.08226752367667
Tamil Nadu,-32.2076030536561,-28.986842748290492,-22.545322137559268,-16.10380152682805
